ID Cliente;Fecha de Inscripción;Hora de Inscripción;Fecha de Inicio;Duración (meses);Plan de Membresía
C00;19/12/2024;08:00:00;22/12/2024;6;Básico
C01;19/12/2024;09:00:00;23/12/2024;12;Premium
C02;19/12/2024;10:00:00;24/12/2024;3;Avanzado
C03;19/12/2024;11:00:00;25/12/2024;6;Básico
C04;19/12/2024;12:00:00;26/12/2024;12;Premium
C05;19/12/2024;13:00:00;27/12/2024;6;Básico
C06;19/12/2024;14:00:00;28/12/2024;3;Avanzado
C07;20/12/2024;08:00:00;29/12/2024;6;Básico
C08;20/12/2024;09:00:00;30/12/2024;12;Premium
C09;20/12/2024;10:00:00;31/12/2024;6;Básico
C10;20/12/2024;11:00:00;1/1/2025;3;Avanzado
C11;20/12/2024;12:00:00;2/1/2025;6;Básico
C12;20/12/2024;13:00:00;3/1/2025;12;Premium
C13;20/12/2024;14:00:00;4/1/2025;6;Básico
C14;21/12/2024;08:00:00;5/1/2025;12;Premium
C15;21/12/2024;09:00:00;6/1/2025;6;Básico
C16;21/12/2024;10:00:00;7/1/2025;3;Avanzado
C17;21/12/2024;11:00:00;8/1/2025;6;Básico
C18;21/12/2024;12:00:00;9/1/2025;12;Premium
C19;21/12/2024;13:00:00;10/1/2025;6;Básico
C20;21/12/2024;14:00:00;11/1/2025;3;Avanzado
C21;22/12/2024;08:00:00;12/1/2025;6;Básico
C22;22/12/2024;09:00:00;13/1/2025;12;Premium
